gene_id,ig_2d,gene_symbol
ENSG00000211642,0.309165136157319,IGLV10-54
ENSG00000288841,0.3064924039478254,gene:ENSG00000288841
ENSG00000100721,0.3053854774742104,TCL1A
ENSG00000149534,0.3044069208285898,MS4A2
ENSG00000123689,0.3018426443406289,G0S2
ENSG00000179388,0.2992420420778922,EGR3
ENSG00000214872,0.2934881782450041,SMTNL1
ENSG00000067646,0.2896976550659735,ZFY
ENSG00000278588,0.2879572241890635,H2BC10
ENSG00000259132,0.2863402670570964,gene:ENSG00000259132
ENSG00000188056,0.2848562458133783,TREML4
ENSG00000197353,0.2833260793134175,LYPD2
ENSG00000273703,0.2808088266801871,H2BC14
ENSG00000270550,0.2784992859043736,IGHV3-30
ENSG00000128218,0.2758410434696394,VPREB3
ENSG00000168903,0.2748667128171324,BTNL3
ENSG00000134321,0.2715105155755332,RSAD2
ENSG00000137801,0.2690033230712064,THBS1
ENSG00000211801,0.2683449950188968,TRAV21
ENSG00000211697,0.2677410898361531,TRGV5
ENSG00000170486,0.2643798873965201,KRT72
ENSG00000243290,0.2589855352043947,IGKV1-12
ENSG00000211694,0.2580213591142783,TRGV10
ENSG00000227191,0.2573443869616499,TRGC2
ENSG00000101335,0.2570665306462495,MYL9
ENSG00000196787,0.2548279237264411,H2AC11
ENSG00000211943,0.2525187134085125,IGHV3-15
ENSG00000196735,0.2471110045394331,HLA-DQA1
ENSG00000089127,0.2454372842477298,OAS1
ENSG00000211938,0.2424032510872207,IGHV3-7
ENSG00000211749,0.2413482575389873,TRBV23-1
ENSG00000163735,0.2402097055983204,CXCL5
ENSG00000012124,0.2397404340343116,CD22
ENSG00000179344,0.2393211374200069,HLA-DQB1
ENSG00000244734,0.2373743994509161,HBB
ENSG00000168298,0.2258090155938248,H1-4
ENSG00000211935,0.2256957017606093,IGHV1-3
ENSG00000186049,0.2245420308876326,KRT73
ENSG00000205810,0.2215487970438542,KLRC3
ENSG00000211779,0.216249877169752,TRAV5
ENSG00000111331,0.2144177849446413,OAS3
ENSG00000240247,0.2127821156136157,DEFA1B
ENSG00000231475,0.2124125613872262,IGHV4-31
ENSG00000211716,0.2088860446897432,TRBV9
ENSG00000173334,0.2082655961533878,TRIB1
ENSG00000149131,0.206354721976717,SERPING1
ENSG00000211592,0.205989291042073,IGKC
ENSG00000267645,0.2020256574693993,gene:ENSG00000267645
ENSG00000211966,0.2014007091929839,IGHV5-51
ENSG00000074803,0.2011036612205854,SLC12A1
ENSG00000110203,0.2007328239571982,FOLR3
ENSG00000286053,0.1976475427865597,ASDURF
ENSG00000144785,0.196698625754185,gene:ENSG00000144785
ENSG00000198692,0.1954889992930526,EIF1AY
ENSG00000237702,0.1945475267297113,TRBV3-1
ENSG00000185745,0.1920096655793481,IFIT1
ENSG00000184270,0.1900617270470397,H2AC21
ENSG00000211685,0.1899396913311241,IGLC7
ENSG00000260537,0.1885236913368755,gene:ENSG00000260537
ENSG00000149516,0.1872063019306176,MS4A3
ENSG00000239951,0.187135061235152,IGKV3-20
ENSG00000126353,0.1855911169324353,CCR7
ENSG00000282499,0.1854515034439778,TRBV25-1
ENSG00000211658,0.1852190148971556,IGLV3-27
ENSG00000198336,0.181947220740224,MYL4
ENSG00000154529,0.1807076828341783,CNTNAP3B
ENSG00000288258,0.1796058791288859,gene:ENSG00000288258
ENSG00000274576,0.1794714433571528,IGHV2-70
ENSG00000163534,0.1790592998623522,FCRL1
ENSG00000256553,0.1789933277512164,TRAV1-2
ENSG00000183092,0.1776585174510133,BEGAIN
ENSG00000179348,0.1763681887397371,GATA2
ENSG00000279009,0.1762216002421369,gene:ENSG00000279009
ENSG00000284690,0.1754693409251263,CD300H
ENSG00000211897,0.1747329156870876,IGHG3
ENSG00000131203,0.1744041405673302,IDO1
ENSG00000211792,0.1737586292954198,TRAV14DV4
ENSG00000239839,0.1735766829158664,DEFA3
ENSG00000288920,0.1731707662935301,RPSAP58
ENSG00000124102,0.1726664755211979,PI3
ENSG00000211970,0.1706558027300879,IGHV4-61
ENSG00000274618,0.1689675931338581,H4C6
ENSG00000213759,0.1677725500519429,UGT2B11
ENSG00000125740,0.1676568024193734,FOSB
ENSG00000211947,0.1673606594431013,IGHV3-21
ENSG00000256590,0.1670825463352416,TRDV3
ENSG00000125954,0.1663340041860423,CHURC1-FNTB
ENSG00000273542,0.1630545262348667,H4C12
ENSG00000169439,0.1612853722337664,SDC2
ENSG00000224712,0.161278993461725,NPIPA3
ENSG00000244575,0.1608077081311543,IGKV1-27
ENSG00000278677,0.1592154843522079,H2AC17
ENSG00000136514,0.1590642256963074,RTP4
ENSG00000211667,0.157658009677933,IGLV3-12
ENSG00000260851,0.1576306753799645,gene:ENSG00000260851
ENSG00000185736,0.1564043974760583,ADARB2
ENSG00000176083,0.1553320039619806,ZNF683
ENSG00000197561,0.1548453734360729,ELANE
ENSG00000211965,0.1537844033021083,IGHV3-49
ENSG00000160932,0.1533794219771486,LY6E
ENSG00000140287,0.1529280411265285,HDC
ENSG00000019169,0.1527856244020416,MARCO
ENSG00000286190,0.1516070231623655,gene:ENSG00000286190
ENSG00000240864,0.151095610196928,IGKV1-16
ENSG00000211933,0.1505373674049817,IGHV6-1
ENSG00000137965,0.1471295052746241,IFI44
ENSG00000285238,0.1469167951607488,gene:ENSG00000285238
ENSG00000211752,0.1466342202296154,TRBV27
ENSG00000211895,0.1453144165676895,IGHA1
ENSG00000221957,0.1434414024859335,KIR2DS4
ENSG00000211668,0.1433616156764278,IGLV2-11
ENSG00000179304,0.142853776690011,FAM156B
ENSG00000169902,0.1418597944949266,TPST1
ENSG00000223350,0.1397487202733861,IGLV9-49
ENSG00000284931,0.1391244324156003,gene:ENSG00000284931
ENSG00000197409,0.1381146843233389,H3C4
ENSG00000211643,0.1370314555393816,IGLV5-52
ENSG00000118785,0.1352453012261608,SPP1
ENSG00000168062,0.1343088551613069,BATF2
ENSG00000211598,0.1341752127158988,IGKV4-1
ENSG00000196411,0.1311085892050589,EPHB4
ENSG00000196092,0.1270714364769311,PAX5
ENSG00000120738,0.1265839451640997,EGR1
ENSG00000289491,0.126543118058659,gene:ENSG00000289491
ENSG00000211652,0.1261626351269701,IGLV7-43
ENSG00000196141,0.1255547700197485,SPATS2L
ENSG00000125498,0.1248326511762879,KIR2DL1
ENSG00000270249,0.1242772806518025,gene:ENSG00000270249
ENSG00000211800,0.1240655149889376,TRAV20
ENSG00000108244,0.1239688242420245,KRT23
ENSG00000211972,0.1238003983747784,IGHV3-66
ENSG00000276966,0.1214545974166739,H4C5
ENSG00000196866,0.121340760963311,H2AC7
ENSG00000167034,0.1212291224640146,NKX3-1
ENSG00000211753,0.119399181554763,TRBV28
ENSG00000164821,0.1188893461650922,DEFA4
ENSG00000012817,0.1185892751683715,KDM5D
ENSG00000179750,0.1178249617113477,APOBEC3B
ENSG00000254709,0.1174622614747446,IGLL5
ENSG00000276566,0.1167942645930882,IGKV1D-13
ENSG00000282122,0.1153126806456094,IGHV7-4-1
ENSG00000184260,0.1143809003693748,H2AC20
ENSG00000211973,0.1140451569289856,IGHV1-69
ENSG00000067048,0.1127655911720683,DDX3Y
ENSG00000197238,0.1121522500183447,H4C11
ENSG00000169397,0.1121361062618466,RNASE3
ENSG00000132704,0.1110888159188307,FCRL2
ENSG00000275743,0.1087902631338708,TRBV14
ENSG00000177455,0.108288848235457,CD19
ENSG00000189068,0.1081112488052625,VSTM1
ENSG00000169385,0.1073569974809673,RNASE2
ENSG00000130222,0.1072658369521971,GADD45G
ENSG00000280416,0.1070769809211526,gene:ENSG00000280416
ENSG00000161905,0.1070123267782526,ALOX15
ENSG00000228049,0.1066485761738266,POLR2J2
ENSG00000270757,0.1064306447315502,HSPE1-MOB4
ENSG00000089169,0.106158142896776,RPH3A
ENSG00000239855,0.1057025009104285,IGKV1-6
ENSG00000278299,0.1056121038931181,TBC1D3C
ENSG00000211776,0.1048791187349937,TRAV2
ENSG00000288709,0.104784568837459,F8A2
ENSG00000285133,0.1044684665518786,gene:ENSG00000285133
ENSG00000129295,0.1043389146559447,DNAAF11
ENSG00000211750,0.1035990486146019,TRBV24-1
ENSG00000118113,0.1029861355374491,MMP8
ENSG00000012223,0.1023172202329576,LTF
ENSG00000211710,0.100923945403858,TRBV4-1
ENSG00000211651,0.0999215816104459,IGLV1-44
ENSG00000211934,0.0997616146779417,IGHV1-2
ENSG00000211949,0.0989588293814567,IGHV3-23
ENSG00000279430,0.0986971446949637,gene:ENSG00000279430
ENSG00000173678,0.0977318163700823,SPDYE2B
ENSG00000211945,0.097429032293279,IGHV1-18
ENSG00000276410,0.0971706793169696,H2BC3
ENSG00000185198,0.0964795221499703,PRSS57
ENSG00000152778,0.0961897587940636,IFIT5
ENSG00000163736,0.0960202902040501,PPBP
ENSG00000211611,0.0956445384764046,IGKV6-21
ENSG00000280064,0.0954346204495473,gene:ENSG00000280064
ENSG00000276085,0.0952952558202065,CCL3L3
ENSG00000134326,0.0952552914685176,CMPK2
ENSG00000187627,0.0949660518235818,RGPD1
ENSG00000108691,0.0925482276644693,CCL2
ENSG00000280071,0.0915009675773844,GATD3B
ENSG00000184357,0.0914570046637684,H1-5
ENSG00000152672,0.0898935444760465,CLEC4F
ENSG00000086548,0.0896987429697962,CEACAM6
ENSG00000248672,0.0894046780678025,LY75-CD302
ENSG00000148346,0.0890315978583512,LCN2
ENSG00000251546,0.0888891814986823,IGKV1D-39
ENSG00000123610,0.0887495522245695,TNFAIP6
ENSG00000182557,0.0883959377680759,SPNS3
ENSG00000211660,0.0880898240878594,IGLV2-23
ENSG00000279074,0.0871850033416706,gene:ENSG00000279074
ENSG00000115602,0.0870999110431053,IL1RL1
ENSG00000183598,0.0868357725785525,H3C13
ENSG00000198178,0.0860782525066382,CLEC4C
ENSG00000113140,0.0856513600341069,SPARC
ENSG00000198502,0.0853435514284823,HLA-DRB5
ENSG00000162366,0.0853315807651181,PDZK1IP1
ENSG00000170667,0.0848458059388768,RASA4B
ENSG00000036448,0.0844325940244856,MYOM2
ENSG00000229769,0.0836771104588223,TRBV10-2
ENSG00000137959,0.0825656643600019,IFI44L
ENSG00000211896,0.0824765580938435,IGHG1
ENSG00000239571,0.0811825746334608,IGKV2D-30
ENSG00000224373,0.0811055116812579,IGHV4-59
ENSG00000204644,0.0809903036568046,ZFP57
ENSG00000273802,0.0799726896619842,H2BC8
ENSG00000133687,0.0796007929859515,TMTC1
ENSG00000288614,0.0790069469022666,gene:ENSG00000288614
ENSG00000279602,0.0787263437664452,gene:ENSG00000279602
ENSG00000211955,0.0783708357523534,IGHV3-33
ENSG00000276819,0.0783108587917748,TRBV15
ENSG00000101425,0.0746709082233309,BPI
ENSG00000211959,0.074279112658335,IGHV4-39
ENSG00000100448,0.07293906744714,CTSG
ENSG00000211812,0.0722077207543646,TRAV26-2
ENSG00000130433,0.0715743254890847,CACNG6
ENSG00000211662,0.071508078543511,IGLV3-21
ENSG00000276405,0.0713355282006957,TRBV13
ENSG00000279691,0.0712791738026705,gene:ENSG00000279691
ENSG00000167774,0.0706716698772381,gene:ENSG00000167774
ENSG00000104921,0.0703669321773936,FCER2
ENSG00000103355,0.0690722113046598,PRSS33
ENSG00000102145,0.0686173080755516,GATA1
ENSG00000211650,0.0684929542988877,IGLV5-45
ENSG00000243466,0.0682089293885454,IGKV1-5
ENSG00000211648,0.0678752276607547,IGLV1-47
ENSG00000288796,0.0678609274312694,gene:ENSG00000288796
ENSG00000073756,0.0677047111749069,PTGS2
ENSG00000242076,0.0672944562781119,IGKV1-33
ENSG00000211789,0.0666979267587269,TRAV12-2
ENSG00000204345,0.0655766042685847,CD300LD
ENSG00000124469,0.0655006705861548,CEACAM8
ENSG00000156265,0.0654500369287961,MAP3K7CL
ENSG00000225698,0.0639681493474145,IGHV3-72
ENSG00000282939,0.0638821484112571,TRBV7-2
ENSG00000177606,0.0631817538687099,JUN
ENSG00000198848,0.0625206959585371,CES1
ENSG00000189283,0.061911330364447,FHIT
ENSG00000105205,0.0611272082908939,CLC
ENSG00000211659,0.0608920759331573,IGLV3-25
ENSG00000255641,0.0602118824692957,gene:ENSG00000255641
ENSG00000137757,0.0599098671609233,CASP5
ENSG00000091181,0.0572965318650927,IL5RA
ENSG00000211644,0.0570783821750794,IGLV1-51
ENSG00000119922,0.0567497640974376,IFIT2
ENSG00000146122,0.0563811575313249,DAAM2
ENSG00000211663,0.0563792829358705,IGLV3-19
ENSG00000172322,0.0560104044775411,CLEC12A
ENSG00000133106,0.0559808023491032,EPSTI1
ENSG00000270149,0.0558816709480341,gene:ENSG00000270149
ENSG00000185304,0.0557756276718602,RGPD2
ENSG00000055332,0.0552546234959068,EIF2AK2
ENSG00000175164,0.0545798382091411,ABO
ENSG00000211640,0.0538524999713321,IGLV6-57
ENSG00000282651,0.0530636384708075,IGHV5-10-1
ENSG00000276953,0.0519293209750476,TRBV12-4
ENSG00000211893,0.0516995774447245,IGHG2
ENSG00000211673,0.0514261697753474,IGLV3-1
ENSG00000211964,0.0512251556616814,IGHV3-48
ENSG00000211666,0.0511124940863173,IGLV2-14
ENSG00000275895,0.0509333181045403,U2AF1L5
ENSG00000118520,0.0505628047417805,ARG1
ENSG00000275714,0.0504901867750063,H3C1
ENSG00000137628,0.0494049753074902,DDX60
ENSG00000196565,0.0480566847326998,HBG2
ENSG00000206047,0.0476473141080447,DEFA1
ENSG00000104918,0.0470337688523591,RETN
ENSG00000164047,0.046544505755636,CAMP
ENSG00000088827,0.0460326386180323,SIGLEC1
ENSG00000160307,0.0459917955033071,S100B
ENSG00000112139,0.0455070371534602,MDGA1
ENSG00000276070,0.0452997164670451,CCL4L2
ENSG00000257017,0.0443597008888827,HP
ENSG00000254415,0.0443121344315221,SIGLEC14
ENSG00000167483,0.0443061701901866,NIBAN3
ENSG00000108551,0.0440320689558762,RASD1
ENSG00000112759,0.0435457802612552,SLC29A1
ENSG00000278196,0.0431872750364589,IGLV2-8
ENSG00000232629,0.0430357523097398,HLA-DQB2
ENSG00000129824,0.0419469360916127,RPS4Y1
ENSG00000211780,0.040655726086841,TRAV6
ENSG00000211675,0.0399435318980381,IGLC1
ENSG00000203618,0.039570893986502,GP1BB
ENSG00000211890,0.0390331776694438,IGHA2
ENSG00000240403,0.0390232572788432,KIR3DL2
ENSG00000167633,0.0389516230233935,KIR3DL1
ENSG00000002933,0.0384593793003316,TMEM176A
ENSG00000211976,0.038456122604151,IGHV3-73
ENSG00000274049,0.0382949444093646,INO80B-WBP1
ENSG00000279716,0.0381750929542495,gene:ENSG00000279716
ENSG00000106565,0.0379810372517505,TMEM176B
ENSG00000167618,0.037374572311965,LAIR2
ENSG00000288529,0.0366651743195261,gene:ENSG00000288529
ENSG00000163739,0.0361007031135691,CXCL1
ENSG00000115590,0.0355132878690603,IL1R2
ENSG00000134545,0.0349199733722969,KLRC1
ENSG00000133048,0.0348184414139984,CHI3L1
ENSG00000173262,0.0345300266925322,SLC2A14
ENSG00000211669,0.0344548168413069,IGLV3-10
ENSG00000211950,0.034413599328269,IGHV1-24
ENSG00000183793,0.033909708934563,NPIPA5
ENSG00000158373,0.0337290242326441,H2BC5
ENSG00000243238,0.0332916728737493,IGKV2-30
ENSG00000211820,0.0329172133547907,TRAV41
ENSG00000183134,0.0324751663641472,PTGDR2
ENSG00000211655,0.0322263368407353,IGLV1-36
ENSG00000244437,0.0321783279286453,IGKV3-15
ENSG00000132465,0.0318134376410146,JCHAIN
ENSG00000240382,0.0308648002049656,IGKV1-17
ENSG00000100985,0.0307473838672464,MMP9
ENSG00000205923,0.0301048343809807,CEMP1
ENSG00000280411,0.0294821874534079,IGHV1-69D
ENSG00000237254,0.0294655158251787,TRBV30
ENSG00000211745,0.028842734838245,TRBV4-2
ENSG00000143297,0.0287041359088134,FCRL5
ENSG00000197728,0.0279136661072612,RPS26
ENSG00000232216,0.0278959688199981,IGHV3-43
ENSG00000007350,0.0276626445347207,TKTL1
ENSG00000105366,0.0275971187304287,SIGLEC8
ENSG00000237541,0.0274543574245537,HLA-DQA2
ENSG00000278705,0.0266945376783193,H4C2
ENSG00000005381,0.0259317195074869,MPO
ENSG00000119917,0.0255370171125142,IFIT3
ENSG00000214940,0.0242527289924468,NPIPA8
ENSG00000188290,0.0240682352516226,HES4
ENSG00000211956,0.0240514434555766,IGHV4-34
ENSG00000276775,0.0237763105247185,IGHV4-4
ENSG00000233306,0.0229324797961682,TRGV2
ENSG00000168528,0.022868022785781,SERINC2
ENSG00000092758,0.0228576341007894,COL9A3
ENSG00000211679,0.0224644631791062,IGLC3
ENSG00000273590,0.0224277465683989,SMIM11B
ENSG00000183762,0.0215905985222952,KREMEN1
ENSG00000211899,0.0215610657702214,IGHM
ENSG00000105369,0.0214363642335581,CD79A
ENSG00000211815,0.0198930541951235,TRAV36DV7
ENSG00000184979,0.019882632449283,USP18
ENSG00000111863,0.0197627506637752,ADTRP
ENSG00000272921,0.0196956146737967,gene:ENSG00000272921
ENSG00000279812,0.0195719309076656,gene:ENSG00000279812
ENSG00000240671,0.0192515149052474,IGKV1-8
ENSG00000134184,0.0190091018992203,GSTM1
ENSG00000165949,0.0189637310309333,IFI27
ENSG00000100079,0.0182245007030908,LGALS2
ENSG00000244116,0.0177644059023081,IGKV2-28
ENSG00000134755,0.017364143292982,DSC2
ENSG00000170345,0.0171517236078269,FOS
ENSG00000242371,0.0171453377847354,IGKV1-39
ENSG00000282608,0.0170583850262332,ADORA3
ENSG00000162383,0.0166998704136286,SLC1A7
ENSG00000116299,0.0164153436271329,ELAPOR1
ENSG00000288661,0.015426582679688,gene:ENSG00000288661
ENSG00000110455,0.0152409976072373,ACCS
ENSG00000206172,0.0144533008347285,HBA1
ENSG00000283378,0.0143792472128011,CNTNAP3C
ENSG00000183878,0.0143112572402602,UTY
ENSG00000187608,0.0140483220066935,ISG15
ENSG00000283063,0.0140085697544649,TRBV6-2
ENSG00000183844,0.0139553587358089,FAM3B
ENSG00000010030,0.0132546140255249,ETV7
ENSG00000205560,0.0129950725047314,CPT1B
ENSG00000138646,0.0129720327779841,HERC5
ENSG00000103056,0.0128780106516945,SMPD3
ENSG00000049247,0.0122396950947497,UTS2
ENSG00000156738,0.0118808333433514,MS4A1
ENSG00000279693,0.0106151666429698,gene:ENSG00000279693
ENSG00000007038,0.0106088402132675,PRSS21
ENSG00000163737,0.0102678749540614,PF4
ENSG00000211649,0.0098579485335979,IGLV7-46
ENSG00000160221,0.0091945634471225,GATD3A
ENSG00000211790,0.0087346520077432,TRAV8-4
ENSG00000274736,0.0075909768138766,CCL23
ENSG00000123838,0.0068945461271344,C4BPA
ENSG00000163823,0.0065883722274666,CCR1
ENSG00000211639,0.0065650979860317,IGLV4-60
ENSG00000114374,0.0065317488592823,USP9Y
ENSG00000096006,0.0064373266307225,CRISP3
ENSG00000288625,0.0063088256794398,gene:ENSG00000288625
ENSG00000092067,0.0059732707428071,CEBPE
ENSG00000241755,0.0048169232859457,IGKV1-9
ENSG00000211892,0.0044670786439688,IGHG4
ENSG00000109272,0.0041786683209315,PF4V1
ENSG00000160180,0.0038061336261545,TFF3
ENSG00000099985,0.0032390645521843,OSM
ENSG00000115155,0.0031579377515948,OTOF
ENSG00000105048,0.0031491054639128,TNNT1
ENSG00000285723,0.0031128231040335,MKKS_3
ENSG00000284981,0.0026758971475193,UPK3BL2
ENSG00000102837,0.0024409495929494,OLFM4
ENSG00000205809,0.0021360342832557,KLRC2
ENSG00000241294,0.0021199871716,IGKV2-24
ENSG00000211720,0.0018339844902693,TRBV11-1
ENSG00000211637,0.0014831681562774,IGLV4-69
ENSG00000224650,0.0007914633728303,IGHV3-74
ENSG00000211821,0.0005487607235056,TRDV2
ENSG00000188536,0.0,HBA2
